train_corpus;test_corpus;features;metric;value;std
mysMEEI;mysMEEI;sep_03_a02;accuracy;0.926521739130435;0.012212671221902744
mysMEEI;mysMEEI;sep_03_a02;precision;0.9528869754229735;0.013127908469788008
mysMEEI;mysMEEI;sep_03_a02;recall;0.9251785714285716;0.013047939472951117
mysMEEI;mysMEEI;sep_03_a02;f1;0.9387546399418;0.010138480151643883
mysMEEI;mysMEEI;sep_03_a02;auc;0.9602232142857143;0.006221074647551505
mysMEEI;mysMEEI;spectral_04;accuracy;0.899239130434783;0.01138505885875832
mysMEEI;mysMEEI;spectral_04;precision;0.9162871461680254;0.012600836276368687
mysMEEI;mysMEEI;spectral_04;recall;0.9185714285714289;0.013439205515876275
mysMEEI;mysMEEI;spectral_04;f1;0.9173378022006747;0.009323710190488464
mysMEEI;mysMEEI;spectral_04;auc;0.9480009920634922;0.009575097259060663
mysMEEI;mysMEEI;combined_04;accuracy;0.9182608695652175;0.00876062681722171
mysMEEI;mysMEEI;combined_04;precision;0.945462114014326;0.012457187495114343
mysMEEI;mysMEEI;combined_04;recall;0.9189285714285716;0.010838564932495381
mysMEEI;mysMEEI;combined_04;f1;0.9319162019103829;0.007176806964607499
mysMEEI;mysMEEI;combined_04;auc;0.970813492063492;0.004463028923622544
mysMEEI;mysMEEI;sep_04_raw;accuracy;0.9059782608695655;0.011744664557051252
mysMEEI;mysMEEI;sep_04_raw;precision;0.9114717633971223;0.014646344243797202
mysMEEI;mysMEEI;sep_04_raw;recall;0.9367857142857143;0.010838564932495348
mysMEEI;mysMEEI;sep_04_raw;f1;0.9238657364364415;0.009250913015551783
mysMEEI;mysMEEI;sep_04_raw;auc;0.9609275793650792;0.005132840541098576
mysMEEI;mysMEEI;sep_04_a01;accuracy;0.9110869565217393;0.01325730529433854
mysMEEI;mysMEEI;sep_04_a01;precision;0.9324728043336062;0.016442286163880753
mysMEEI;mysMEEI;sep_04_a01;recall;0.9208928571428575;0.011365619029263984
mysMEEI;mysMEEI;sep_04_a01;f1;0.9265546090093122;0.010646288812549231
mysMEEI;mysMEEI;sep_04_a01;auc;0.9622271825396822;0.005842813923522684
mysMEEI;mysMEEI;sep_04_a02;accuracy;0.906521739130435;0.014337941258992301
mysMEEI;mysMEEI;sep_04_a02;precision;0.9231550032300734;0.019192583430131825
mysMEEI;mysMEEI;sep_04_a02;recall;0.9237500000000003;0.0112528341101344
mysMEEI;mysMEEI;sep_04_a02;f1;0.9233211328842227;0.011256531881839489
mysMEEI;mysMEEI;sep_04_a02;auc;0.9610069444444446;0.006704285147167447
mysMEEI;mysMEEI;spectral_05;accuracy;0.8964130434782611;0.009777172402542356
mysMEEI;mysMEEI;spectral_05;precision;0.9179579641807412;0.011659210615956515
mysMEEI;mysMEEI;spectral_05;recall;0.9114285714285717;0.009422075684480658
mysMEEI;mysMEEI;spectral_05;f1;0.914626136984195;0.00787649604112803
mysMEEI;mysMEEI;spectral_05;auc;0.9378422619047619;0.007341502771401208
mysMEEI;mysMEEI;combined_05;accuracy;0.9076086956521741;0.011348159248815812
mysMEEI;mysMEEI;combined_05;precision;0.9309313366400138;0.013542068222191233
mysMEEI;mysMEEI;combined_05;recall;0.9164285714285717;0.014033487645991789
mysMEEI;mysMEEI;combined_05;f1;0.9235137462711461;0.009400630195030797
mysMEEI;mysMEEI;combined_05;auc;0.9651984126984127;0.004839155145742425
mysMEEI;mysMEEI;sep_05_raw;accuracy;0.9007608695652176;0.010611613105612804
mysMEEI;mysMEEI;sep_05_raw;precision;0.9053362559672119;0.010704487525026741
mysMEEI;mysMEEI;sep_05_raw;recall;0.9348214285714286;0.01111598178391849
mysMEEI;mysMEEI;sep_05_raw;f1;0.9197929542697544;0.008566030249355473
mysMEEI;mysMEEI;sep_05_raw;auc;0.9574007936507936;0.00467496697320465
mysMEEI;mysMEEI;sep_05_a01;accuracy;0.9040217391304348;0.010086464568213294
mysMEEI;mysMEEI;sep_05_a01;precision;0.9269181979316896;0.013413696602774076
mysMEEI;mysMEEI;sep_05_a01;recall;0.9146428571428573;0.008957097288560336
mysMEEI;mysMEEI;sep_05_a01;f1;0.9206693453615551;0.008040494116922219
mysMEEI;mysMEEI;sep_05_a01;auc;0.9582390873015872;0.005241389337440404
mysMEEI;mysMEEI;sep_05_a02;accuracy;0.9010869565217393;0.01205493098522762
mysMEEI;mysMEEI;sep_05_a02;precision;0.9203802231996839;0.015961322884839226
mysMEEI;mysMEEI;sep_05_a02;recall;0.9171428571428577;0.009948848769417241
mysMEEI;mysMEEI;sep_05_a02;f1;0.9186627129625167;0.009456904439968055
mysMEEI;mysMEEI;sep_05_a02;auc;0.9582341269841268;0.00573168921652948
mysMEEI;mysMEEI;spectral_06;accuracy;0.8795652173913046;0.013721507685269125
mysMEEI;mysMEEI;spectral_06;precision;0.8910697700316687;0.01712794507338853
mysMEEI;mysMEEI;spectral_06;recall;0.9142857142857147;0.010714285714285721
mysMEEI;mysMEEI;spectral_06;f1;0.9024183761859713;0.010487662860185489
mysMEEI;mysMEEI;spectral_06;auc;0.928859126984127;0.00953418437052887
mysMEEI;mysMEEI;combined_06;accuracy;0.8955434782608697;0.012851393604599472
mysMEEI;mysMEEI;combined_06;precision;0.9112947328708811;0.01552149754618235
mysMEEI;mysMEEI;combined_06;recall;0.9180357142857144;0.01290047262225501
mysMEEI;mysMEEI;combined_06;f1;0.9145461424654865;0.01030042617463562
mysMEEI;mysMEEI;combined_06;auc;0.958720238095238;0.005567756938664114
mysMEEI;mysMEEI;sep_06_raw;accuracy;0.8960869565217393;0.012037276695571404
mysMEEI;mysMEEI;sep_06_raw;precision;0.8997397200628692;0.014633550741365514
mysMEEI;mysMEEI;sep_06_raw;recall;0.9335714285714286;0.010126747770541284
mysMEEI;mysMEEI;sep_06_raw;f1;0.9162636632395756;0.009379873263838334
mysMEEI;mysMEEI;sep_06_raw;auc;0.9567013888888889;0.0048272299794044765
mysMEEI;mysMEEI;sep_06_a01;accuracy;0.8991304347826089;0.013140940225832525
mysMEEI;mysMEEI;sep_06_a01;precision;0.9137344651596168;0.016465900265704606
mysMEEI;mysMEEI;sep_06_a01;recall;0.921607142857143;0.011264163419935837
mysMEEI;mysMEEI;sep_06_a01;f1;0.9175523805686671;0.010343147427829727
mysMEEI;mysMEEI;sep_06_a01;auc;0.9549702380952381;0.005701811022429648
mysMEEI;mysMEEI;sep_06_a02;accuracy;0.8971739130434784;0.01403984338475436
mysMEEI;mysMEEI;sep_06_a02;precision;0.9093064476482262;0.01792480879964804
mysMEEI;mysMEEI;sep_06_a02;recall;0.9235714285714287;0.01131641394125348
mysMEEI;mysMEEI;sep_06_a02;f1;0.9162657695650206;0.010934524976683478
mysMEEI;mysMEEI;sep_06_a02;auc;0.9568799603174603;0.006267790486764763
mysMEEI;mysMEEI;spectral_07;accuracy;0.8807608695652175;0.014042788379878164
mysMEEI;mysMEEI;spectral_07;precision;0.8821565833943843;0.014141821072091987
mysMEEI;mysMEEI;spectral_07;recall;0.9283928571428572;0.01758633949219375
mysMEEI;mysMEEI;spectral_07;f1;0.9045474241857707;0.011343279723616347
mysMEEI;mysMEEI;spectral_07;auc;0.9259077380952379;0.010300193264431656
mysMEEI;mysMEEI;combined_07;accuracy;0.8951086956521741;0.011438894119483246
mysMEEI;mysMEEI;combined_07;precision;0.901854578099518;0.011455547833378751
mysMEEI;mysMEEI;combined_07;recall;0.9289285714285717;0.014502814645890667
mysMEEI;mysMEEI;combined_07;f1;0.9151020754939764;0.009392729002561323
mysMEEI;mysMEEI;combined_07;auc;0.9572519841269841;0.005076700147264523
mysMEEI;mysMEEI;sep_07_raw;accuracy;0.8927173913043481;0.01345852341648164
mysMEEI;mysMEEI;sep_07_raw;precision;0.8927644803751695;0.016849507741698497
mysMEEI;mysMEEI;sep_07_raw;recall;0.9366071428571431;0.009574826156038907
mysMEEI;mysMEEI;sep_07_raw;f1;0.9140629353748365;0.010276141564357478
mysMEEI;mysMEEI;sep_07_raw;auc;0.956324404761905;0.004909148279243696
mysMEEI;mysMEEI;sep_07_a01;accuracy;0.8922826086956523;0.011409937465554477
mysMEEI;mysMEEI;sep_07_a01;precision;0.9001131860093207;0.014713626653770531
mysMEEI;mysMEEI;sep_07_a01;recall;0.9260714285714289;0.007993939030571221
mysMEEI;mysMEEI;sep_07_a01;f1;0.9128334050356652;0.00873344259839597
mysMEEI;mysMEEI;sep_07_a01;auc;0.9545783730158729;0.005644420629709203
mysMEEI;mysMEEI;sep_07_a02;accuracy;0.8939130434782612;0.010773488429012053
mysMEEI;mysMEEI;sep_07_a02;precision;0.9000904499178022;0.01421333637347179
mysMEEI;mysMEEI;sep_07_a02;recall;0.929107142857143;0.008165616689409762
mysMEEI;mysMEEI;sep_07_a02;f1;0.9142921723000128;0.008241497436209416
mysMEEI;mysMEEI;sep_07_a02;auc;0.9567162698412698;0.005275511582328132
mysMEEI;mysMEEI;spectral_08;accuracy;0.8797826086956522;0.015047184765801911
mysMEEI;mysMEEI;spectral_08;precision;0.8770266579141335;0.015098527307680895
mysMEEI;mysMEEI;spectral_08;recall;0.9337500000000002;0.01928158024474896
mysMEEI;mysMEEI;spectral_08;f1;0.9043340489903555;0.012109875827540457
mysMEEI;mysMEEI;spectral_08;auc;0.9200843253968252;0.010928221057757445
mysMEEI;mysMEEI;combined_08;accuracy;0.8923913043478262;0.01326799523449315
mysMEEI;mysMEEI;combined_08;precision;0.8978881206026883;0.013798833054728682
mysMEEI;mysMEEI;combined_08;recall;0.929107142857143;0.01566041903940617
mysMEEI;mysMEEI;combined_08;f1;0.9131185469420661;0.010739010890225264
mysMEEI;mysMEEI;combined_08;auc;0.9534672619047619;0.005471522463374182
mysMEEI;mysMEEI;sep_08_raw;accuracy;0.8894565217391306;0.013228309992406376
mysMEEI;mysMEEI;sep_08_raw;precision;0.8872497706013668;0.015363780862751352
mysMEEI;mysMEEI;sep_08_raw;recall;0.9378571428571427;0.010251928638862349
mysMEEI;mysMEEI;sep_08_raw;f1;0.9117710204262433;0.010152485592299441
mysMEEI;mysMEEI;sep_08_raw;auc;0.9566865079365079;0.004918414277466577
mysMEEI;mysMEEI;sep_08_a01;accuracy;0.8895652173913047;0.012556112241907516
mysMEEI;mysMEEI;sep_08_a01;precision;0.894971223353533;0.014585699957480887
mysMEEI;mysMEEI;sep_08_a01;recall;0.9276785714285716;0.010219217091303209
mysMEEI;mysMEEI;sep_08_a01;f1;0.9109589038736337;0.009788302953852426
mysMEEI;mysMEEI;sep_08_a01;auc;0.9539335317460319;0.005988093512338417
mysMEEI;mysMEEI;sep_08_a02;accuracy;0.8913043478260871;0.011605519839164457
mysMEEI;mysMEEI;sep_08_a02;precision;0.895710470335375;0.0151133601135536
mysMEEI;mysMEEI;sep_08_a02;recall;0.9300000000000002;0.006998542122237638
mysMEEI;mysMEEI;sep_08_a02;f1;0.9124588086211053;0.008751177799788129
mysMEEI;mysMEEI;sep_08_a02;auc;0.9552182539682538;0.00581144324371801
mysMEEI;mysMEEI;spectral_09;accuracy;0.8756521739130436;0.01672076915046035
mysMEEI;mysMEEI;spectral_09;precision;0.868408909425207;0.01649683969779378
mysMEEI;mysMEEI;spectral_09;recall;0.9382142857142856;0.018108939048696013
mysMEEI;mysMEEI;spectral_09;f1;0.9018224029621106;0.013128113763928554
mysMEEI;mysMEEI;spectral_09;auc;0.9201835317460316;0.00988487976349295
mysMEEI;mysMEEI;combined_09;accuracy;0.8877173913043479;0.014748602189381963
mysMEEI;mysMEEI;combined_09;precision;0.8921679863948239;0.016433887576812998
mysMEEI;mysMEEI;combined_09;recall;0.9280357142857144;0.015037156361113333
mysMEEI;mysMEEI;combined_09;f1;0.9096215461700519;0.011640384886700456
mysMEEI;mysMEEI;combined_09;auc;0.9501537698412698;0.0061809198056949274
mysMEEI;mysMEEI;sep_09_raw;accuracy;0.8852173913043481;0.012423680054112641
mysMEEI;mysMEEI;sep_09_raw;precision;0.8814516175691156;0.01495057039433283
mysMEEI;mysMEEI;sep_09_raw;recall;0.9378571428571427;0.009936019816602514
mysMEEI;mysMEEI;sep_09_raw;f1;0.9086940778417582;0.009443028117976072
mysMEEI;mysMEEI;sep_09_raw;auc;0.958298611111111;0.00457063310756488
mysMEEI;mysMEEI;sep_09_a01;accuracy;0.8879347826086957;0.01217148655942085
mysMEEI;mysMEEI;sep_09_a01;precision;0.8911691552587285;0.014124421372586106
mysMEEI;mysMEEI;sep_09_a01;recall;0.9296428571428573;0.008682318415102289
mysMEEI;mysMEEI;sep_09_a01;f1;0.909940699034119;0.009383916080805481
mysMEEI;mysMEEI;sep_09_a01;auc;0.9546775793650792;0.005839562039398192
mysMEEI;mysMEEI;sep_09_a02;accuracy;0.8907608695652176;0.012428909376118766
mysMEEI;mysMEEI;sep_09_a02;precision;0.8949824048206504;0.016178432942521095
mysMEEI;mysMEEI;sep_09_a02;recall;0.9300000000000003;0.008630747123996113
mysMEEI;mysMEEI;sep_09_a02;f1;0.9120621841825344;0.009429419581731133
mysMEEI;mysMEEI;sep_09_a02;auc;0.953313492063492;0.00662282447154169
mysMEEI;mysMEEI;spectral_10;accuracy;0.8717391304347827;0.01732323635924915
mysMEEI;mysMEEI;spectral_10;precision;0.8635378623349179;0.017057726430823
mysMEEI;mysMEEI;spectral_10;recall;0.9378571428571427;0.01846811924835413
mysMEEI;mysMEEI;spectral_10;f1;0.8990151832368701;0.01348263710167668
mysMEEI;mysMEEI;spectral_10;auc;0.9128769841269841;0.010088734552846711
mysMEEI;mysMEEI;combined_10;accuracy;0.8810869565217395;0.015280923278947792
mysMEEI;mysMEEI;combined_10;precision;0.8844317737902336;0.018070314236444694
mysMEEI;mysMEEI;combined_10;recall;0.9260714285714289;0.013604283539100644
mysMEEI;mysMEEI;combined_10;f1;0.9046374998877994;0.011811460395799058
mysMEEI;mysMEEI;combined_10;auc;0.9472420634920634;0.006763341471187381
mysMEEI;mysMEEI;sep_10_raw;accuracy;0.8869565217391308;0.013834697892780268
mysMEEI;mysMEEI;sep_10_raw;precision;0.8841291270998507;0.01651709095147058
mysMEEI;mysMEEI;sep_10_raw;recall;0.9375;0.010564428184106434
mysMEEI;mysMEEI;sep_10_raw;f1;0.9099340043406636;0.010520493128495388
mysMEEI;mysMEEI;sep_10_raw;auc;0.9573859126984126;0.0047521265139220505
mysMEEI;mysMEEI;sep_10_a01;accuracy;0.8891304347826088;0.010869565217391297
mysMEEI;mysMEEI;sep_10_a01;precision;0.8924644102399409;0.013707514008141637
mysMEEI;mysMEEI;sep_10_a01;recall;0.9301785714285716;0.008411832652367043
mysMEEI;mysMEEI;sep_10_a01;f1;0.9108610275152493;0.00830790290952661
mysMEEI;mysMEEI;sep_10_a01;auc;0.9528521825396825;0.006484322707285789
mysMEEI;mysMEEI;sep_10_a02;accuracy;0.8860869565217393;0.014044891569750506
mysMEEI;mysMEEI;sep_10_a02;precision;0.8881216992066863;0.018526116843833214
mysMEEI;mysMEEI;sep_10_a02;recall;0.9305357142857145;0.008709820284469415
mysMEEI;mysMEEI;sep_10_a02;f1;0.9087147431747812;0.010510352667850494
mysMEEI;mysMEEI;sep_10_a02;auc;0.9498015873015874;0.007098628499999332
mysMEEI;mysMEEI;spectral_11;accuracy;0.8730434782608697;0.01589188424564961
